,singer,song
0,Su ta gar,Abere izate ukatua
1,Spice Girls,Viva Forever (Tony Rich Remix Instrumental)
2,Dandy Livingstone,Think About That
3,Orquesta Harlow,That Groovy Shingaling
4,King B.A.V.,Take It Off
5,Samuel L Session,Can You Relate
6,Leatherface and Hot Water Music,Take It As It Comes (Hot Water Music)
7,Harry Chapin,Country Dreams (LP Version)
8,Nazz,This One's For You
9,Coleman Hawkins,I Only Have Eyes for You
10,Patrick Nuo,I Can't Tell - Album Version
11,Mormon Tabernacle Choir,Hear My Supplication
12,Chalino Sanchez,Prajedes Felix
13,Rebecca Lynn Howard,I Don't Paint Myself Into Corners
14,Drunk Horse,Lube Job
15,Oleta Adams,This Is Real
16,Bauhaus,Hollow Hills (re-mastered)
17,Insane Clown Posse,Wizard Of The Ghetto
18,Susan McRae,Hooray For The Birthday Today
19,Iris Dement,Mama's Opry (Album Version)
20,Jorge Drexler,Corazón De Cristal
21,Carrie Underwood,Cowboy Casanova (Karaoke)
22,Ruth Etting,Don't Tell Him What Happened To Me
23,Herbie Nichols,The Gig
24,Beatriz Luengo,Ná De Ná
25,High Strung_ The,Cocksure
26,John Vanderslice,The Hospital
27,Banda La Bocana,Ella Es Mi Gloria
28,Dame Kiri Te Kanawa/Pamela Thorby/London Symphony Orchestra/Karl Jenkins,Capriccio D'Amore
29,Children On Stun,"Beginning Of The End (7"" Version)"
30,Joe Bonamassa,The Great Flood
31,RONNIE RONALDE,Last Night (The Nightingale Song)
32,Spacekees Feat.Turk,Paars
33,Ogris Debris,Raid The Itch
34,Jean Michel Jarre,Introduction (Revolutions)
35,Meteors,Oxygen Dog
36,Fetchin' Bones,You're So Much
37,Teoman,Kupa Kizi Ve Sinek Valesi (Radyo Miks)
38,Saving Abel,Goodbye
39,Ba Cissoko,Sunday Bloody Sunday
40,Gillian Welch,Miner's Refrain
41,Orson,The Sound
42,Caprice,Once kings
43,Michael Stanley Band,What 'cha Wanna Do Tonight
44,DJ Deeon,Headhunters
45,Janiva Magness,Walkin' in the sun
46,Open Season,Tonight
47,The Psychedelic Furs,Into You Like A Train
48,Messy Marv,The Industry's New Problem (skit)
49,Magma,Mekanil destruktiw kommandoh
50,Carmen Linares,Canción de madre
51,Ewan MacColl & A. L. Lloyd,Blow_ Boys_ Blow
52,Foo Fighters,For All The Cows
53,Tango & Cash,The Weekend 2009
54,Dag För Dag,Light on Your Feet
55,Joe Bonamassa,Athens To Athens
56,Neil Sedaka,Anywhere You're Gonna Be (Leba's Song)
57,Darude,Good Grooves
58,Cheri Keaggy,What Matters Most (What Matters Most Album Version)
59,The Maccabees,Mary
60,Tito Rodriguez,Cancel
61,Ozric Tentacles,Descension
