,singer,song
722110,Keep Of Kalessin,Den Siste Krig
426378,Gonzoe,Rep Yo' Hood
970220,Sid Vicious,Take A Chance On Me
522199,Frank London´s Klezmer Brass Allstars,Slow Hasidic Nign
687500,Joy Division,Love Will Tear Us Apart (Album Version)
686240,Marc Live,Bellevue Feat Sinistre
783440,Jay Sean,Runaway
988707,Lifehouse,Am I Ever Gonna Find Out
604643,Factor,Mello Out
991554,Electric Light Orchestra,Whiskey Girl
760232,Hausmylly,Maasta Taivaaseen
923147,911,Boogie Nights
860461,Dorival Caymmi,O Que É Que A Baiana Tem (1993 Digital Remaster)
39462,Phil Manzanera,Postcard Love
473039,K. Sparks,Sometimes
100732,Dennis Day,Sleep My Child
931440,Carl Douglas,Mirror Man
380329,Françoise Hardy,L'obscur Objet
975949,Triangle,Elégie À Gabrielle
663788,Descendents,Hope
117089,R.I.O.,De Janeiro
216629,Blonde Redhead,Jewel
291080,The Dead 60s,Ghostfaced Killer
818851,Arsenal,Longee
745217,K's Choice,Butterflies Instead
4258,Tomas Andersson,Copy Cat
246169,Luti-kriss,Hidden
663583,Fred Åkerström,Stolta Stad
520822,Paul Blackford,Raw Deal
598703,Amberian Dawn,Saga
310155,Weird Al Yankovic,Toothless People
267512,The Zinedines,Still Running
969259,Simon Webbe,My Soul Pleads For You (Abbey Rd Napster Session)
898169,Mercyful Fate,Fear
398568,Death By Stereo,Good Morning America (Album Version)
716438,Mario Venuti,Bianco Su Nero
584902,Roberto Jordan,El Sol Se Fue
869643,Jaz Klash,The Finale
738338,Husalah,4 Music
619378,Commodores,Baby This Is Forever
324265,Los Violadores,En La Gran Ciudad
180190,POCAHONTAS,Hijo De La Luna
862747,Diomay,La boulette
696638,I Say Marvin,Gloria
212056,Jane Olivor,The French Waltz
878247,The Black Dog,Digital Poacher
122829,Open Air,Leavin' My Place
660617,Weather Girls,Wild Thang (Extended Edit)
827055,Norris Man,Sometime
222858,Cannonball Adderley,Scorpio (2008 Digital Remaster)
466348,Gak Sato,One Good Turn
975392,James Cotton,Turn On Your Love Light
697339,Des'ree,Little Child
632069,Manjul,Beki Miri_ reggae version (Extended Mix)
856311,üNN,Airwaves
504411,Bill Quinn,Adios Amigo
262949,Woods,Holier Than No One
628692,Cradle Of Filth,For Those Who Died
592983,Pants Yell!,Cold Hands
676484,Macy Gray,I Try
740619,Rockers Hi-Fi,More And More
702801,Hot Leg,Gay In The 80's
554361,James Carter,I'll Never Be The Same
510450,Stephanie McKay,Oh Yeah
604336,Demon Hunter,Storm The Gates Of Hell
853969,Lotte Lenya,Stolz (Pride)
683152,Sebkha-Chott,Tapisserie XLII - Papillon de lumière
569735,Bikini Machine,Sing On It
945355,The Marbles,Avalon
368823,Scarlet,Sixty-Nine
616275,Nikka Costa,Around The World
209516,Ken & Stranger,Home Home Home
771993,Joe,Im Somma Um Hoib Zehne
652039,Up_ Bustle & Out,Silver Fish -An Oceans Dub Tale
135547,James Galway;Mike Mower,"My Heart Will Go On (Love Theme From ""Titanic"")"
388891,Country Teasers,Please Stop Fucking Eachother
448094,Ac Acoustics,Stunt Girl
660467,Hardrock Gunter,Boogie Woogie on a Saturday Night
742095,Rainbow,Weiss Heim
277194,SINNER,You Don't Wanna (feat. Malo_ Cue & Heavy)
674655,Bauhaus,Lagartija Nick
873929,Dr. Dooom/Kool Keith/KutMasta Kurt,No Chorus (instrumental)
301455,Mannheim Steamroller,Gagliarda - Schein
88306,Run DMC,Peter Piper
42719,Dallas Symphony Orchestra,Billy the Kid: Gun Battle
500071,Foals,The French Open
234406,La Tordue,Une chanson
929201,Robbie Williams,Me And My Monkey (Live)
518499,Jacquotte Ribière-raverlat,Si j'étais une girafe/Allons chercher l'herbette
616760,Future Funk Squad,View to Me
86231,Die Türen,Nicht mit den Türen knallen
896677,It's A Beautiful Day,White Bird
820870,Just Us,What  a Night
726184,Jay & The Americans,Sunday And Me
483558,Danny Wilson,Imaginary Girl
667534,João Donato,That Old Black Magic
616452,The Heart Throbs,Big Commotion
321764,Havana Black,Faceless Days (2001 Digital Remaster)
708661,Sim Redmond Band,Rolling Back With You
318982,Slipknot,Danger - Keep Away (Album Version)
100147,The Blues Band,Sure Feels Good (From the album Brand Loyalty)
892483,Azalia Snail,Abba Zabba
449520,Black Kids,I've Underestimated My Charm (Again)
628410,Hey Romeo,I Got Nothin
884985,Mick Flannery,In The Gutter
597075,Late Night Alumni,You Can Be The One (John Hollow Remix)
78592,Clarence Carter,Strokin'
485511,Maurice Jarre,Crush the Grapes
186649,Freddie Jackson,You And I Got A Thang (2007 Digital Remaster)
276272,Arlo Guthrie / Pete Seeger,Amazing Grace (Album Version)
319770,Emerson_ Lake & Palmer,Watching Over You
450467,Jeff And Sheri Easter,Morning's Coming
633996,Green River Ordinance,Outside
69990,Flowchart,Elephant Boy's First Day of School
432865,Amduscia,Perverse Party
459779,Honeyrider,California USA
597808,Fania All Stars,Descarga fania
428976,Holophonics,Chemically Mine
138474,Paul Westerberg,Wonderful Copenhagen
242724,Herbstrock,1-2-3
792653,Kinski,The Bunnies Are Tough (Album)
651964,The Blues Band,Little Baby (From the album Brand Loyalty)
890294,Intex Systems,The Infinite Void
823835,Status Quo,Is There A Better Way
834084,Salieri,Canadian sky
2472,The Ship,The Ship [Reprise]
390876,Howlin' Wolf,Gettin' Old And Grey
770896,Move D & Benjamin Brunn,In the Beginning
652454,Dieter Nuhr,1.400 Gramm Hirn
103070,Hi Lo's,You Must Have Been A Beautiful Baby
371348,Global Deejays,What A Feeling (OSX Version)
733272,Jefferson Airplane,3/5 Of A Mile In 10 Seconds
33733,VIP,Family
541212,Teen Idols,Skinflynt
260226,Splender,Spin
123537,Vibeke Saugestad,17 Hours
134108,June Tabor,Young Waters
5844,T. Graham Brown,Put Your Hand in the Hand
13266,Sade,Somebody Already Broke My Heart
552941,Richard Clayderman,Love Story
208490,Teddy Pendergrass,Shes Over Me
294620,Josh Rouse,Laughter
888133,ASP,Wer sonst?
515232,Hysterie,Be my Lover
952207,Glenn Medeiros,Lonely Won't Leave Me Alone
275709,Memphis Slim,Blue Evening Blues
389811,The Highwaymen,Pharoh's Army - Old Time Religion
511293,Desiderii Marginis,Freedom's Captive
707820,Razzia,Mc War
88133,José Galisteo,Enola Gay
800952,Farid Ortiz & Jader Durán,El Primo
44606,The Infamous Stringdusters,Taking A Chance On The Truth
968016,Sandra Luna,Y Ahora Que Hare
856346,Lucio Dalla,Felicità
806240,Fangoria,Voy a perder el miedo (Spunky)
775564,Deadmau5,Sometimes I Fail
5220,Fun Lovin' Criminals,Up On The Hill (Explicit)
889024,Van Gelder,Saints & Sinners
346158,Bill Engvall,Here's Your Sign (Wear It All The Time) (Album Version)
892433,ALL:MY:FAULTS,Withered In Bloom
789433,Pure Prairie League,All The Lonesome Cowboys
178454,Åge Aleksandersen Og Sambandet,Eldorado
464729,Tritonal,Forgive Me_ Forget You
733642,Phil Chang,Yung Hsin Liang Ku
750279,Jennifer Rostock,Mein Parfum
167072,Ana,Segreda-Me Ao Ouvido
854754,Frank Sinatra_ Dean Martin & Sammy Davis Jr,Introducing The Band
963630,Jimmie Skinner,Just Ramblin' On
974157,David Allan Coe,Satisfied Mind - Original
